Age,fnlwgt,education,education-num,sex,capital-gain,capital-loss,hours-per-week,salary-status
50,83311,14,13,0,0,0,13,0
38,215646,9,9,0,0,0,40,0
53,234721,7,7,0,0,0,40,0
28,338409,14,13,1,0,0,40,0
37,284582,15,14,1,0,0,40,0
49,160187,5,5,1,0,0,16,0
52,209642,9,9,0,0,0,45,1
31,45781,15,14,1,14084,0,50,1
42,159449,14,13,0,5178,0,40,1
37,280464,13,10,0,0,0,80,1
30,141297,14,13,0,0,0,40,1
23,122272,14,13,1,0,0,30,0
32,205019,11,12,0,0,0,50,0
40,121772,12,11,0,0,0,40,1
34,245487,4,4,0,0,0,45,0
25,176756,9,9,0,0,0,35,0
32,186824,9,9,0,0,0,40,0
38,28887,7,7,0,0,0,50,0
43,292175,15,14,1,0,0,45,1
40,193524,16,16,0,0,0,60,1
54,302146,9,9,1,0,0,20,0
35,76845,5,5,0,0,0,40,0
43,117037,7,7,0,0,2042,40,0
59,109015,9,9,1,0,0,40,0
56,216851,14,13,0,0,0,40,1
19,168294,9,9,0,0,0,40,0
39,367260,9,9,0,0,0,80,0
49,193366,9,9,0,0,0,40,0
23,190709,11,12,0,0,0,52,0
20,266015,13,10,0,0,0,44,0
45,386940,14,13,0,0,1408,40,0
30,59951,13,10,0,0,0,40,0
22,311512,13,10,0,0,0,15,0
48,242406,7,7,0,0,0,40,0
21,197200,13,10,0,0,0,40,0
19,544091,9,9,1,0,0,25,0
31,84154,13,10,0,0,0,38,1
48,265477,11,12,0,0,0,40,0
31,507875,5,5,0,0,0,43,0
53,88506,14,13,0,0,0,40,0
24,172987,14,13,0,0,0,50,0
49,94638,9,9,1,0,0,40,0
25,289980,9,9,0,0,0,35,0
57,337895,14,13,0,0,0,40,1
53,144361,9,9,0,0,0,38,0
44,128354,15,14,1,0,0,40,0
41,101603,12,11,0,0,0,40,0
29,271466,12,11,0,0,0,43,0
25,32275,13,10,1,0,0,40,0
18,226956,9,9,1,0,0,30,0
47,51835,10,15,1,0,1902,60,1
50,251585,14,13,0,0,0,55,1
47,109832,9,9,0,0,0,60,0
43,237993,13,10,0,0,0,40,1
46,216666,3,3,0,0,0,40,0
35,56352,12,11,0,0,0,40,0
41,147372,9,9,0,0,0,48,0
30,188146,9,9,0,5013,0,40,0
30,59496,14,13,0,2407,0,40,0
48,149640,9,9,0,0,0,40,0
42,116632,16,16,0,0,0,45,1
29,105598,13,10,0,0,0,58,0
36,155537,9,9,0,0,0,40,0
28,183175,13,10,1,0,0,40,0
53,169846,9,9,1,0,0,40,1
49,191681,13,10,0,0,0,50,1
19,101509,13,10,0,0,0,32,0
31,309974,14,13,1,0,0,40,0
29,162298,14,13,0,0,0,70,1
23,211678,13,10,0,0,0,40,0
79,124744,13,10,0,0,0,20,0
27,213921,9,9,0,0,0,40,0
40,32214,11,12,0,0,0,40,0
18,309634,7,7,1,0,0,22,0
31,125927,4,4,0,0,0,40,0
18,446839,9,9,0,0,0,30,0
52,276515,14,13,0,0,0,40,0
46,51618,9,9,1,0,0,40,0
59,159937,9,9,0,0,0,48,0
44,343591,9,9,1,14344,0,40,1
53,346253,9,9,1,0,0,35,0
49,268234,9,9,0,0,0,40,1
33,202051,15,14,0,0,0,50,0
30,54334,5,5,0,0,0,40,0
43,410867,16,16,1,0,0,50,1
57,249977,12,11,0,0,0,40,0
37,286730,13,10,1,0,0,40,0
28,212563,13,10,1,0,0,25,0
30,117747,9,9,1,0,1573,35,0
34,226296,14,13,0,0,0,40,1
29,115585,13,10,0,0,0,50,0
48,191277,16,16,0,0,1902,60,1
37,202683,13,10,0,0,0,48,1
48,171095,11,12,1,0,0,40,0
32,249409,9,9,0,0,0,40,0
76,124191,15,14,0,0,0,40,1
44,198282,14,13,0,15024,0,60,1
47,149116,15,14,1,0,0,50,0
